"","ind_id","ind_definition","reportyear","race_eth_code","race_eth_name","geotype","geotypevalue","geoname","county_name","county_fips","region_name","region_code","cost_yr","median_income","affordability_ratio","LL95_affordability_ratio","UL95_affordability_ratio","se_food_afford","rse_food_afford","food_afford_decile","CA_RR_Affordability","ave_fam_size","version"
"1",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06001","Alameda","Alameda","06001","Bay Area","01",7242.1230072,31764,0.2279978,0.2160502,0.2399455,0.0060957,2.6735932,NA,0.8558395,3.21,2013-04-12 04:33:06
"2",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06003","Alpine","Alpine","06003","Central/Southeast Sierra","03",8821.19136,48333,0.1825087,0,0.5706138,0.1980128,108.4950367,NA,0.685086,3.81,2013-04-12 04:33:06
"3",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06005","Amador","Amador","06005","Central/Southeast Sierra","03",5812.6720848,27118,0.2143474,0.11692,0.3117748,0.0497079,23.1903306,NA,0.8045995,2.58,2013-04-12 04:33:06
"4",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06007","Butte","Butte","06007","Butte","02",6755.1682356,20840,0.3241443,0.2938995,0.3543892,0.015431,4.7605436,NA,1.2167464,2.99,2013-04-12 04:33:06
"5",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06009","Calaveras","Calaveras","06009","Central/Southeast Sierra","03",7030.081692,35795,0.1963984,0.0882566,0.3045403,0.0551744,28.0931056,NA,0.7372243,3.09,2013-04-12 04:33:06
"6",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06011","Colusa","Colusa","06011","Northern Sacramento Valley","07",8130.1788432,17656,0.4604768,0.2294993,0.6914544,0.1178457,25.5920998,NA,1.7285,3.62,2013-04-12 04:33:06
"7",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06013","Contra Costa","Contra Costa","06013","Bay Area","01",7050.962568,36453,0.1934261,0.1769061,0.2099462,0.0084286,4.3575285,NA,0.7260671,3.1,2013-04-12 04:33:06
"8",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06015","Del Norte","Del Norte","06015","North Coast","05",7438.25058,18897,0.3936207,0.2255996,0.5616418,0.0857251,21.7785974,NA,1.477541,3.35,2013-04-12 04:33:06
"9",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06017","El Dorado","El Dorado","06017","Sacramento Area","08",6732.2863488,35514,0.1895671,0.1395906,0.2395436,0.0254982,13.450751,NA,0.7115814,2.92,2013-04-12 04:33:06
"10",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06019","Fresno","Fresno","06019","San Joaquin Valley","10",7877.575632,19441,0.4052042,0.3807428,0.4296657,0.0124803,3.0800072,NA,1.5210223,3.55,2013-04-12 04:33:06
"11",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06021","Glenn","Glenn","06021","Northern Sacramento Valley","07",6699.7822368,19348,0.3462778,0,0.9856927,0.3262321,94.2110995,NA,1.299829,2.98,2013-04-12 04:33:06
"12",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06023","Humboldt","Humboldt","06023","North Coast","05",6438.961824,22921,0.2809198,0.2236034,0.3382361,0.029243,10.4097476,NA,1.0544935,2.9,2013-04-12 04:33:06
"13",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06025","Imperial","Imperial","06025","Southern California","14",7854.5993664,19551,0.4017492,0.3458775,0.4576209,0.028506,7.0954634,NA,1.5080532,3.52,2013-04-12 04:33:06
"14",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06027","Inyo","Inyo","06027","Central/Southeast Sierra","03",6995.243952,25769,0.2714597,0.1678967,0.3750226,0.0528382,19.4644943,NA,1.0189829,3.17,2013-04-12 04:33:06
"15",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06029","Kern","Kern","06029","San Joaquin Valley","10",7893.2342928,20254,0.3897124,0.3623619,0.4170628,0.0139543,3.5806654,NA,1.4628702,3.58,2013-04-12 04:33:06
"16",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06031","Kings","Kings","06031","San Joaquin Valley","10",8086.9916568,18434,0.4386998,0.3587655,0.5186341,0.0407828,9.2962886,NA,1.6467551,3.67,2013-04-12 04:33:06
"17",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06033","Lake","Lake","06033","North Coast","05",6758.6862468,19471,0.3471155,0.2383401,0.4558909,0.0554977,15.9882386,NA,1.3029737,3.09,2013-04-12 04:33:06
"18",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06035","Lassen","Lassen","06035","Northeast Sierra","06",5836.6220916,19452,0.3000525,0.1237606,0.4763445,0.0899449,29.9763678,NA,1.1263126,2.59,2013-04-12 04:33:06
"19",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06037","Los Angeles","Los Angeles","06037","Southern California","14",8056.313478,26854,0.3000042,0.2947863,0.3052221,0.0026622,0.8873832,NA,1.1261312,3.45,2013-04-12 04:33:06
"20",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06039","Madera","Madera","06039","San Joaquin Valley","10",8850.39348,21473,0.4121638,0.3383164,0.4860112,0.0376773,9.1413308,NA,1.5471466,4,2013-04-12 04:33:06
"21",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06041","Marin","Marin","06041","Bay Area","01",6381.5001672,48356,0.1319691,0.1029899,0.1609484,0.0147853,11.2036339,NA,0.4953749,2.77,2013-04-12 04:33:06
"22",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06043","Mariposa","Mariposa","06043","Central/Southeast Sierra","03",5315.6972532,12846,0.4138017,0.3296709,0.4979326,0.0429239,10.3730579,NA,1.553295,2.43,2013-04-12 04:33:06
"23",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06045","Mendocino","Mendocino","06045","North Coast","05",6814.682556,22298,0.3056186,0.2660004,0.3452368,0.0202134,6.6139209,NA,1.1472058,3.05,2013-04-12 04:33:06
"24",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06047","Merced","Merced","06047","San Joaquin Valley","10",7841.2544916,17523,0.4474836,0.3963662,0.4986009,0.0260803,5.8282064,NA,1.679727,3.57,2013-04-12 04:33:06
"25",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06049","Modoc","Modoc","06049","Northeast Sierra","06",7299.3042444,17823,0.4095441,0.0822886,0.7367996,0.1669671,40.7690145,NA,1.5373129,3.19,2013-04-12 04:33:06
"26",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06051","Mono","Mono","06051","Central/Southeast Sierra","03",10370.042328,44604,0.2324913,0.1958248,0.2691578,0.0187074,8.0464996,NA,0.8727067,4.4,2013-04-12 04:33:06
"27",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06053","Monterey","Monterey","06053","Monterey Bay","04",7830.9205392,27212,0.2877745,0.260835,0.314714,0.0137447,4.7761872,NA,1.0802244,3.52,2013-04-12 04:33:06
"28",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06055","Napa","Napa","06055","Bay Area","01",6749.853252,33401,0.2020854,0.1785413,0.2256294,0.0120123,5.9441645,NA,0.7585714,2.93,2013-04-12 04:33:06
"29",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06057","Nevada","Nevada","06057","Northeast Sierra","06",6352.34208,36816,0.172543,0.1392284,0.2058575,0.0169972,9.8510098,NA,0.6476776,2.76,2013-04-12 04:33:06
"30",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06059","Orange","Orange","06059","Southern California","14",7760.672208,38134,0.2035106,0.1955432,0.211478,0.004065,1.9974357,NA,0.7639212,3.3,2013-04-12 04:33:06
"31",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06061","Placer","Placer","06061","Sacramento Area","08",6294.7661184,40202,0.1565784,0.1409628,0.1721941,0.0079672,5.088286,NA,0.5877512,2.78,2013-04-12 04:33:06
"32",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06063","Plumas","Plumas","06063","Northeast Sierra","06",5030.417892,25125,0.2002156,0.0918904,0.3085409,0.055268,27.6042285,NA,0.751553,2.29,2013-04-12 04:33:06
"33",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06065","Riverside","Riverside","06065","Southern California","14",8109.0594,28033,0.2892683,0.2763096,0.3022271,0.0066116,2.2856258,NA,1.0858317,3.5,2013-04-12 04:33:06
"34",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06067","Sacramento","Sacramento","06067","Sacramento Area","08",6908.0243544,30286,0.228093,0.2203309,0.235855,0.0039602,1.7362342,NA,0.8561967,3.09,2013-04-12 04:33:06
"35",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06069","San Benito","San Benito","06069","Monterey Bay","04",6591.0940176,23162,0.284565,0.095114,0.474016,0.0966587,33.9671756,NA,1.0681766,2.89,2013-04-12 04:33:06
"36",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06071","San Bernardino","San Bernardino","06071","Southern California","14",8359.771368,27814,0.3005598,0.2858949,0.3152248,0.0074821,2.4893982,NA,1.1282168,3.6,2013-04-12 04:33:06
"37",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06073","San Diego","San Diego","06073","San Diego","09",6766.865472,30021,0.2254044,0.2147587,0.2360501,0.0054315,2.4096608,NA,0.8461045,3.24,2013-04-12 04:33:06
"38",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","CO","06075","San Francisco","San Francisco","06075","Bay Area","01",7471.0506132,34410,0.2171186,0.1890764,0.2451607,0.0143072,6.5895879,NA,0.8150019,3.27,2013-04-12 04:33:06
